"id","type","actor","direction","director","characters","rating","movie_name","instruction","created_at"
"20","剧情","甄子丹|洪金宝|熊黛林|黄晓明|樊少皇","中国大陆","叶伟信","经典","7.2","叶问2","中日战争结束后，叶问（甄子丹 饰）带着妻儿离开佛山，远赴香港定居。初到香港的叶问，生活拮据，他在天台开设武馆，教授咏春拳，却因当地武师的排外，屡屡遭遇挑战。为了捍卫咏春拳的尊严，叶问与各路武师展开了激烈的较量，他凭借精湛的武艺和高尚的武德，赢得了众人的尊重。此时，英国拳王龙卷风来到香港举办拳赛，他目中无人，肆意侮辱中国武术，声称中国功夫不堪一击。为了维护民族尊严，叶问挺身而出，与龙卷风展开了一场惊心动魄的生死对决。在擂台上，叶问以咏春拳的精妙招式，击败了不可一世的龙卷风，向全世界证明了中国武术的强大。影片不仅展现了叶问高超的武艺，更诠释了中华武术的精神内核——仁义礼智信。","5/1/2026 10:15:26"
"21","剧情","宋洋|姜武|袁文康|谭卓|王梓尘","中国大陆","忻钰坤","经典","8.2","暴裂无声","在北方凛冽的冬天，一个牧羊少年带着自家的羊群在山里行走，却意外发现了一具藏在山洞里的尸体。与此同时，矿工张保民（宋洋 饰）的儿子磊子突然失踪，他心急如焚，四处寻找儿子的下落。张保民性格刚烈，因年轻时与人争执被人打断了舌头，从此成了哑巴。他在寻找儿子的过程中，卷入了一场由矿老板昌万年（姜武 饰）和律师徐文杰（袁文康 饰）主导的阴谋之中。昌万年心狠手辣，为了霸占矿山，不择手段；徐文杰则为了名利，不惜掩盖真相。随着调查的深入，张保民逐渐发现，儿子的失踪与这起谋杀案有着密切的联系。影片以冷峻的镜头语言，揭露了人性的贪婪与黑暗，同时也展现了底层小人物的无奈与抗争。","5/1/2026 10:15:26"
"22","剧情","刘亦菲|杨洋|罗晋|严屹宽|李纯","中国大陆","赵小丁|安东尼|拉默里纳拉","经典","3.9","三生三世十里桃花","青丘帝姬白浅（刘亦菲 饰）在昆仑墟拜师学艺，化名司音，与九重天太子夜华（杨洋 饰）相识相恋。两人历经三生三世的爱恨纠葛，跨越了天、地、人三界的阻隔。第一世，白浅为封印擎苍，失去了双眼和记忆，化作凡人素素，与夜华在东荒相识，却因误会重重，最终跳下诛仙台，恢复记忆的白浅饮下忘情水，忘记了这段刻骨铭心的感情。第二世，白浅成为青丘女君，夜华再次出现在她的身边，两人在相处中逐渐找回了过往的记忆。第三世，擎苍再次破封而出，白浅与夜华携手并肩，共同对抗邪恶势力，守护三界和平。影片以唯美浪漫的画面，讲述了一段跨越千年的爱情故事，诠释了爱情的坚贞与永恒。","5/1/2026 10:15:26"
"23","剧情","姜文|巩俐|滕汝骏|钱明|陈志刚","中国大陆","张艺谋","经典","8.2","红高粱","经典史诗影片，讲述九儿与余占鳌之间的爱恨情仇，刻画抗日战争时期的民族气节与爱情。","5/1/2026 10:15:26"
"24","剧情","陶泽如|李岷城|嵇波|胡先煦|郑伟","中国大陆","吴天明","经典","8","百鸟朝凤","经典主旋律影片，讲述唢呐艺人坚守非遗传承，诠释工匠精神与家国情怀，感人至深。","5/1/2026 10:15:26"
"25","剧情","葛优|徐帆","中国大陆","冯小刚","经典","7.8","不见不散","刘元（葛优 饰）是一个在美国洛杉矶漂泊多年的北京人，他一事无成，整日游手好闲，靠给人打零工维持生计。李清（徐帆 饰）是一位刚到美国的北京姑娘，她怀揣着对美好生活的向往，却在异国他乡屡屡碰壁。两人在一次偶然的机会中相识，从此结下了不解之缘。刘元对李清一见钟情，他想尽办法接近李清，却因性格散漫，屡屡闹出笑话。李清在刘元的帮助下，逐渐适应了美国的生活，两人在相处中互生情愫。然而，他们的爱情之路并不平坦，文化的差异、生活的压力，让两人屡屡产生矛盾。在一次次的分分合合中，刘元与李清终于明白，真正的爱情无关地域、无关贫富，只要彼此相守，便是最好的幸福。","5/1/2026 10:15:26"
"26","剧情","徐静蕾|姜文|黄觉|焦晃|孙飞虎","中国大陆","徐静蕾","经典","7.5","一个陌生女人的来信","经典爱情影片，讲述一位陌生女人对男主的一生爱恋，刻画暗恋的凄美与执着，感人至深。","5/1/2026 10:15:26"
"27","剧情","魏敏芝|张慧科|田正达|高恩满|孙志梅","中国大陆","张艺谋","经典","7.5","一个都不能少","水泉小学的高老师要回家看望病重的母亲，他找来13岁的魏敏芝（魏敏芝 饰），让她临时顶替自己，担任水泉小学的代课老师。高老师临走前叮嘱魏敏芝，一定要看好学生，一个都不能少。水泉小学地处偏远山区，条件艰苦，学生们家境贫寒，时常有学生辍学。魏敏芝牢记高老师的嘱托，她尽心尽力地照顾着学生们，努力维持着学校的秩序。然而，班里的学生张慧科（张慧科 饰）因家中贫困，被迫辍学去城里打工。魏敏芝得知后，毅然决定独自一人前往城里寻找张慧科。她在城里历经了无数的艰辛与磨难，终于找到了张慧科，将他带回了学校。影片以朴实的镜头语言，展现了乡村教师的坚守与奉献，同时也反映了农村教育的现状。","5/1/2026 10:15:26"
"28","剧情","姜文|李保田|瞿颖|刘信义|葛优","中国大陆","张艺谋","经典","8.1","有话好好说","经典喜剧影片，讲述男主与女主因小事发生冲突，最终化解矛盾的故事，诠释「有话好好说」的人生智慧。","5/1/2026 10:15:26"
"29","剧情","姜文|徐帆|宁静|陈佩斯|崔杰","中国大陆","常光希","经典","7.7","宝莲灯","天宫中的三圣母（徐帆 配音）与凡间书生刘彦昌相恋，生下了儿子沉香（虞鹏飞/杨硕 配音）。此事被二郎神（姜文 配音）得知，他认为三圣母触犯了天条，将她压在了华山之下。沉香自幼便失去了母亲，他在父亲的抚养下长大，得知母亲的遭遇后，沉香立志要劈开华山，救出母亲。为了实现这个愿望，沉香四处拜师学艺，历经了无数的艰辛与磨难。他在学艺的过程中，结识了孙悟空（陈佩斯 配音）等神仙，得到了他们的帮助。最终，沉香凭借自己的勇气与智慧，练就了一身绝世武功，劈开了华山，救出了母亲。影片以绚丽的动画画面，讲述了一段感人至深的亲情故事，诠释了孝道的真谛。","5/1/2026 10:15:26"
"30","剧情","章子怡|郑昊|孙红雷|李滨|嵇波","中国大陆","张艺谋","经典","7.9","我的父亲母亲","经典爱情影片，讲述父亲与母亲之间纯粹又浪漫的爱情故事，刻画乡村爱情的美好与坚守，张艺谋执导。","5/1/2026 10:15:26"
"31","剧情","宫哲|金雅琴|张淑芳|孙捷|罗忠学","中国大陆","马俪文","经典","8.6","我们俩","经典温情影片，讲述两位老人在平凡生活中相互陪伴，诠释亲情与温暖，剧情治愈又动人。","5/1/2026 10:15:26"
"32","剧情","黄璐|杨幼安|贺运乐|张玉玲|张友平","中国大陆","李杨","经典","8.4","盲山","经典现实影片，讲述女大学生被拐至山村的悲惨遭遇，深刻揭露拐卖妇女的罪恶，极具现实意义。","5/1/2026 10:15:26"
"33","剧情","李连杰|关之琳|莫少聪|熊欣欣|刘洵","中国大陆","徐克","经典","7.7","黄飞鸿之三","清末，慈禧太后为了庆祝自己的寿辰，举办了一场盛大的狮王争霸赛，邀请了全国各地的狮队参赛。黄飞鸿（李连杰 饰）带领宝芝林的弟子们，也参加了这场比赛。然而，这场狮王争霸赛背后，却隐藏着一个巨大的阴谋。洋商们企图利用这场比赛，控制中国的武术界，进而瓜分中国的利益。黄飞鸿识破了洋商们的阴谋，他与弟子们一起，与洋商们展开了激烈的斗争。在比赛中，黄飞鸿凭借精湛的武艺和高尚的武德，击败了各路高手，最终夺得狮王争霸赛的冠军。他不仅捍卫了中国武术的尊严，更向全世界证明了中国人民不屈不挠的民族精神。","5/1/2026 10:15:26"
"34","剧情","丁建华","中国大陆","钱家骏|戴铁郎","经典","8.7","九色鹿","本动画片根据敦煌壁画《鹿王本生》故事改编。在古老的沙漠中，生活着一只美丽的九色鹿，它拥有神奇的力量，能够帮助人们摆脱困境。一天，一个名叫调达的商人在沙漠中迷路，濒临死亡，九色鹿救了他的性命。调达感激涕零，发誓永远不会泄露九色鹿的行踪。然而，调达是一个背信弃义的人，他为了贪图富贵，向国王告密，带领军队前去捕捉九色鹿。九色鹿得知后，并没有逃跑，它向国王讲述了自己救调达的经过，揭露了调达的丑恶嘴脸。国王被九色鹿的善良与勇敢所打动，他严惩了调达，并重申永远保护九色鹿。影片以优美的画面和动人的故事，歌颂了善良、勇敢、诚信的美好品质。","5/1/2026 10:15:26"
"35","剧情","贾林|魏宗万|孙飞虎|李颖","中国大陆","张建亚","经典","8.4","三毛从军记","本片改编自张乐平的经典漫画《三毛流浪记》。三毛（贾林 饰）是一个身世可怜的孤儿，他无家可归，四处流浪。抗日战争爆发后，三毛毅然决定参军，报效祖国。他来到军队后，因身材矮小、瘦弱不堪，屡屡闹出笑话。然而，三毛凭借着自己的聪明才智和顽强的意志，在军队中屡立奇功。他跟随部队参加了多次战斗，从一个懵懂无知的孤儿，逐渐成长为一名勇敢的战士。影片以幽默搞笑的方式，讲述了三毛在军队中的传奇经历，同时也展现了抗日战争时期，中国人民不屈不挠的抗争精神。","5/1/2026 10:15:26"
"36","剧情","滕汝骏|刘烨|赵秀丽|陈好|龚业珩","中国大陆","霍建起","经典","8.5","那山那人那狗","经典温情影片，讲述儿子陪父亲送信的故事，刻画父子亲情与乡村温情，治愈又动人。","5/1/2026 10:15:26"
"37","剧情","刘晓庆|姜文|郑在石|张光北|徐松子","中国大陆","谢晋","经典","9","芙蓉镇","芙蓉镇是一个风景秀丽的南方小镇，这里的人们过着平静而祥和的生活。胡玉音（刘晓庆 饰）是镇上有名的豆腐西施，她与丈夫桂桂一起经营着一家豆腐坊，生意十分红火。然而，一场突如其来的政治运动，打破了芙蓉镇的宁静。胡玉音因家境富裕，被打成了“新富农”，遭受了无数的批斗与折磨。她的丈夫桂桂也不幸去世，胡玉音陷入了无尽的痛苦之中。在这个艰难的时刻，右派分子秦书田（姜文 饰）来到了胡玉音的身边，他与胡玉音相互扶持，彼此鼓励，两人之间产生了深厚的感情。影片以细腻的笔触，讲述了一段在特殊年代里的爱情故事，揭露了政治运动对人性的摧残，同时也歌颂了人性的光辉。","5/1/2026 10:15:26"
"38","剧情","张国立|葛优|梁天|潘虹|马晓晴","中国大陆","米家山","经典","8.4","顽主","经典喜剧影片，讲述三位顽主在生活中嬉笑怒骂，刻画80年代的青春与成长，剧情爆笑又深刻。","5/1/2026 10:15:26"
"39","剧情","梅根|福克斯|斯蒂芬|阿梅尔|威尔|阿奈特|皮特|普劳泽克|阿兰|里奇森","中国大陆","戴夫|格林","经典","6.3","忍者神龟2","城市再次陷入危机，史莱德从监狱逃脱，他与邪恶的外星人克朗联手，企图称霸世界。拉斐尔、莱昂纳多、米开朗基罗和多纳泰罗这四只忍者神龟，再次挺身而出，与史莱德和克朗展开了激烈的战斗。在战斗中，神龟们结识了女记者艾普尔（梅根·福克斯 饰）和摄影师弗恩（威尔·阿奈特 饰），他们一起并肩作战，共同对抗邪恶势力。神龟们凭借着自己的智慧与勇气，一次次化解危机，最终击败了史莱德和克朗，守护了城市的和平。影片以炫酷的特效和精彩的打斗场面，讲述了忍者神龟的冒险故事，充满了热血与激情。","5/1/2026 10:15:26"
"40","剧情","章子怡|姜文|陈冲|刘烨|陆毅","中国大陆","侯咏","经典","7.2","茉莉花开","经典文艺影片，讲述茉、莉、花三代女性的人生故事，刻画女性的成长与命运，剧情温暖又深刻。","5/1/2026 10:15:26"
"41","剧情","宁静|邵兵|应真|保罗|克塞","中国大陆","冯小宁","经典","7.7","红河谷","19世纪末，西藏地区成为了英国殖民者觊觎的目标。英军上尉琼斯（保罗·克塞 饰）带领部队入侵西藏，他们烧杀抢掠，无恶不作。藏族少女丹珠（应真 饰）和她的哥哥格桑（邵兵 饰），带领藏族人民奋起反抗，与英军展开了殊死搏斗。在战斗中，琼斯被藏族人民的勇敢与善良所打动，他逐渐认识到了英军的侵略本质，毅然决定站在藏族人民一边，与他们一起对抗英军。影片以壮丽的画面和激昂的音乐，展现了藏族人民不屈不挠的民族精神，同时也歌颂了跨越国界的友谊。","5/1/2026 10:15:26"
"42","剧情","葛优|丁嘉丽|李滨|夏雨|李勤勤","中国大陆","路学长","经典","7.2","卡拉是条狗","经典喜剧影片，讲述老二与卡拉之间的搞笑故事，刻画小人物的善良与温暖，爆笑又治愈。","5/1/2026 10:15:26"
"43","剧情","宁静|保罗|克塞|王新军|李明","中国大陆","冯小宁","经典","7.5","黄河绝恋","抗日战争时期，美国飞行员欧文（保罗·克塞 饰）在执行任务时，飞机被日军击落，他幸运地被八路军战士救下。八路军战士黑子（宁静 饰）和她的战友们，奉命护送欧文前往根据地。在护送的过程中，他们穿越了黄河，遭遇了日军的围追堵截。黑子和欧文在相处中，逐渐产生了感情，他们一起并肩作战，共同对抗日军。在一次激烈的战斗中，黑子为了保护欧文，不幸牺牲。欧文深受感动，他决定留在中国，与中国人民一起抗击日本侵略者。影片以壮丽的黄河景色为背景，讲述了一段跨越国界的爱情故事，歌颂了反法西斯战争中，各国人民之间的友谊与团结。","5/1/2026 10:15:26"
"44","剧情","侯勇|穆立新|汤姆|巴特勒|JR|波恩|库斯勃特","中国大陆","宋业明","经典","6.4","冲出亚马逊","本片根据真实事件改编。两名中国特种兵王晖（侯勇 饰）和胡小龙（穆立新 饰），受邀参加了在南美洲亚马逊丛林中举办的国际特种兵训练中心的集训。这里的训练极其残酷，来自世界各地的特种兵们，要面对高强度的体能训练、恶劣的自然环境和残酷的实战考核。王晖和胡小龙凭借着顽强的意志和精湛的武艺，在训练中脱颖而出，他们不仅克服了重重困难，还与其他国家的特种兵们结下了深厚的友谊。然而，在一次实战考核中，他们遭遇了贩毒集团的袭击，王晖和胡小龙带领队友们，与贩毒集团展开了激烈的战斗，最终成功完成了任务。影片以热血激昂的画面，展现了中国特种兵的英勇无畏和顽强拼搏的精神。","5/1/2026 10:15:26"
"45","剧情","沈洁|张丰毅|张闽|郑振瑶|严翔","中国大陆","吴贻弓","经典","8.8","城南旧事","经典怀旧影片，讲述英子在城南旧事的成长故事，刻画旧时代的温情与遗憾，怀旧又治愈。","5/1/2026 10:15:26"
"46","剧情","郭柯宇|徐啸力|伊格尔|列达哥洛夫","中国大陆","叶大鹰","经典","7.5","红樱桃","影片以二战时期为背景，讲述了少女楚楚在战乱中失去亲人，被送入莫斯科保育院，却因身上的刺青历经磨难的故事。影片深刻揭露了战争对儿童的摧残，画面极具冲击力，刻画了少女在苦难中坚守的人性光辉，是兼具历史厚重感与悲情色彩的经典之作。","5/1/2026 10:15:26"
"47","剧情","高圆圆|徐静蕾|邵兵|濮存昕|吕丽萍","中国大陆","张杨","经典","7.4","爱情麻辣烫","经典爱情影片，讲述五对情侣的爱情故事，刻画爱情的多样与美好，温暖又治愈。","5/1/2026 10:15:26"
"48","剧情","安吉斯|张莹|葛存壮|吴克勤|王澍","中国大陆","崔嵬|欧阳红樱","经典","7.8","小兵张嘎","抗日战争时期，河北白洋淀的张嘎子自幼失去双亲，与奶奶相依为命，奶奶为掩护八路军老钟叔惨遭日寇杀害。满腔仇恨的嘎子毅然投身抗日队伍，他机智勇敢却又稚气未脱，凭着一身倔劲和小聪明，与战友们配合，一次次捉弄敌人、缴获武器、传递情报，最终从一个懵懂顽童成长为一名合格的小八路，影片尽显少年英雄的热血与赤诚，是一代人的经典童年记忆。","5/1/2026 10:15:26"
"49","剧情","白大钧|张长瑞","中国大陆","唐英奇","经典","8","地雷战","抗日战争时期，冀中平原的百姓在八路军的带领下，开展地雷战抗击日军。他们利用当地的材料制作地雷，在村口、道路、田间埋下地雷，打得日军防不胜防、狼狈不堪。百姓们凭借智慧与勇气，用最朴素的方式抗击侵略，守护家园，影片尽显人民群众的抗日智慧与家国情怀，是经典的抗日题材影片。","5/1/2026 10:15:26"
"50","剧情","李纬|韦伟|石羽|张鸿眉|崔超明","中国大陆","费穆","经典","8.6","小城之春","影片以抗战胜利后的江南小城为背景，讲述了两对男女在情感与道德间的挣扎，演绎了一段隐忍、含蓄又充满遗憾的爱情故事。影片风格婉约细腻，镜头语言极具东方美学，刻画了中式爱情的克制与深情，是中国影史经典的文艺片。","5/1/2026 10:15:26"
"51","剧情","祝新运|刘江","中国大陆","李俊","经典","7.5","闪闪的红星","影片以革命战争年代为背景，讲述了少年潘冬子在艰难的环境中成长为红军战士的故事。影片刻画了潘冬子的勇敢、机智与爱国情怀，展现了革命先辈的奋斗精神，是家喻户晓的红色经典影片，充满积极向上的正能量。","5/1/2026 10:15:26"
"52","剧情","张京|王莹|章萍|乔奇|海波","中国大陆","宋崇","经典","7.6","霹雳贝贝","影片讲述了小男孩贝贝天生拥有带电的超能力，他的超能力既带来了奇遇也引发了危机，最终在众人帮助下学会掌控能力的故事。影片充满奇幻童趣，是中国经典的儿童科幻片，承载了一代人的童年回忆，兼具教育意义与娱乐性。","5/1/2026 10:15:26"
"53","剧情","于是之|郑榕|蓝天野|英若诚|黄宗洛","中国大陆","谢添","经典","9.3","茶馆","影片改编自老舍同名话剧，以裕泰茶馆为缩影，讲述了清末到民国时期茶馆里各色人物的命运沉浮，折射出时代的变迁与社会的动荡。影片完美还原了原著的精髓，刻画了不同阶层小人物的生存百态，是兼具文学性与时代性的不朽经典。","5/1/2026 10:15:26"
"54","剧情","于承惠|宋洋|赵圆圆|马君|徐鸥仪","中国大陆","徐浩峰","经典","7.2","倭寇的踪迹","经典武侠影片，讲述倭寇的踪迹背后的武侠故事，刻画武侠精神与正义坚守，画面极具东方美学。","5/1/2026 10:15:26"
"55","剧情","陈强|陈佩斯|黄玲|金萍|梁天","中国大陆","王秉林","经典","7.5","二子开店","影片讲述了待业青年二子和朋友合伙开饭馆，却因经验不足、接连碰壁闹出一系列笑话的故事。影片充满市井喜剧的烟火气，刻画了改革开放初期年轻人的创业迷茫与乐观精神，笑点密集又贴近生活。","5/1/2026 10:15:26"
"56","剧情","赵文卓|王静莹|莫少聪|熊欣欣|周比利","中国大陆","元彬","经典","6.9","黄飞鸿之四","影片为黄飞鸿系列经典续作，讲述了黄飞鸿远赴京城参加狮王大赛，在比赛中挫败洋人阴谋、捍卫民族尊严的故事。影片融合功夫、家国情怀与侠义精神，武打场面精彩纷呈，刻画了黄飞鸿刚正不阿的英雄形象，是港式功夫片的代表作。","5/1/2026 10:15:26"
"57","剧情","薛白|王学圻|谭托|刘强","中国大陆","陈凯歌","经典","7.8","黄土地","经典史诗影片，讲述黄土地上的民族故事，刻画中华民族的精神传承，画面恢弘、剧情深刻。","5/1/2026 10:15:26"
"58","剧情","富大龙|朱媛媛|刘子枫","中国大陆","戚健","经典","8.5","天狗","影片讲述了护林员李天狗坚守岗位，与当地恶霸团伙斗智斗勇，誓死保护山林的故事。影片刻画了小人物的正义与执着，直面基层黑恶势力与人性的较量，剧情紧凑有力，充满硬汉血性与家国情怀。","5/1/2026 10:15:26"
"59","剧情","赵丽蓉|葛优|梁天|李保田|丁嘉丽","中国大陆","黄健中","经典","8.6","过年","影片以春节团圆为背景，讲述了一户东北人家过年时，儿女们因利益、情感产生的矛盾与和解，展现了中国式家庭的温情与无奈。影片充满浓郁的东北乡土气息，刻画了亲情中的爱恨纠葛，是兼具现实感与温情的家庭剧情片。","5/1/2026 10:15:26"
"60","剧情","阮玲玉|黎铿|章志直|唐槐秋","中国大陆","吴永刚","经典","8.9","神女","经典老片，讲述神女的悲惨人生，刻画旧时代女性的命运与坚守，剧情深刻又现实。","5/1/2026 10:15:26"
